sample-id	absolute-filepath
SRR26191002	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191002_1.fastq.gz
SRR26191003	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191003_1.fastq.gz
SRR26191004	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191004_1.fastq.gz
SRR26191005	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191005_1.fastq.gz
SRR26191006	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191006_1.fastq.gz
SRR26191007	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191007_1.fastq.gz
SRR26191008	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191008_1.fastq.gz
SRR26191009	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191009_1.fastq.gz
SRR26191010	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191010_1.fastq.gz
SRR26191011	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191011_1.fastq.gz
SRR26191012	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191012_1.fastq.gz
SRR26191013	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191013_1.fastq.gz
SRR26191014	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191014_1.fastq.gz
SRR26191015	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191015_1.fastq.gz
SRR26191016	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191016_1.fastq.gz
SRR26191017	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191017_1.fastq.gz
SRR26191018	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191018_1.fastq.gz
SRR26191019	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191019_1.fastq.gz
SRR26191020	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191020_1.fastq.gz
SRR26191021	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191021_1.fastq.gz
SRR26191022	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191022_1.fastq.gz
SRR26191023	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191023_1.fastq.gz
SRR26191024	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191024_1.fastq.gz
SRR26191025	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191025_1.fastq.gz
SRR26191026	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191026_1.fastq.gz
SRR26191027	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191027_1.fastq.gz
SRR26191028	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191028_1.fastq.gz
SRR26191029	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191029_1.fastq.gz
SRR26191030	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191030_1.fastq.gz
SRR26191031	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191031_1.fastq.gz
SRR26191032	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191032_1.fastq.gz
SRR26191033	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191033_1.fastq.gz
SRR26191034	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191034_1.fastq.gz
SRR26191035	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191035_1.fastq.gz
SRR26191036	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191036_1.fastq.gz
SRR26191037	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191037_1.fastq.gz
SRR26191038	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191038_1.fastq.gz
SRR26191039	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191039_1.fastq.gz
SRR26191040	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191040_1.fastq.gz
SRR26191041	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191041_1.fastq.gz
SRR26191042	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191042_1.fastq.gz
SRR26191043	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191043_1.fastq.gz
SRR26191044	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191044_1.fastq.gz
SRR26191045	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191045_1.fastq.gz
SRR26191046	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191046_1.fastq.gz
SRR26191047	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191047_1.fastq.gz
SRR26191048	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191048_1.fastq.gz
SRR26191049	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191049_1.fastq.gz
SRR26191050	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191050_1.fastq.gz
SRR26191051	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191051_1.fastq.gz
SRR26191052	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191052_1.fastq.gz
SRR26191053	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191053_1.fastq.gz
SRR26191054	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191054_1.fastq.gz
SRR26191055	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191055_1.fastq.gz
SRR26191056	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191056_1.fastq.gz
SRR26191057	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191057_1.fastq.gz
SRR26191058	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191058_1.fastq.gz
SRR26191059	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191059_1.fastq.gz
SRR26191060	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191060_1.fastq.gz
SRR26191061	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191061_1.fastq.gz
SRR26191062	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191062_1.fastq.gz
SRR26191063	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191063_1.fastq.gz
SRR26191064	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191064_1.fastq.gz
SRR26191065	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191065_1.fastq.gz
SRR26191066	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191066_1.fastq.gz
SRR26191067	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191067_1.fastq.gz
SRR26191068	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191068_1.fastq.gz
SRR26191069	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191069_1.fastq.gz
SRR26191070	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191070_1.fastq.gz
SRR26191071	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191071_1.fastq.gz
SRR26191072	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191072_1.fastq.gz
SRR26191073	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191073_1.fastq.gz
SRR26191074	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191074_1.fastq.gz
SRR26191075	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191075_1.fastq.gz
SRR26191076	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191076_1.fastq.gz
SRR26191077	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191077_1.fastq.gz
SRR26191078	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191078_1.fastq.gz
SRR26191079	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191079_1.fastq.gz
SRR26191080	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191080_1.fastq.gz
SRR26191081	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191081_1.fastq.gz
SRR26191082	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191082_1.fastq.gz
SRR26191083	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191083_1.fastq.gz
SRR26191084	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191084_1.fastq.gz
SRR26191085	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191085_1.fastq.gz
SRR26191086	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191086_1.fastq.gz
SRR26191087	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191087_1.fastq.gz
SRR26191088	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191088_1.fastq.gz
SRR26191089	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191089_1.fastq.gz
SRR26191090	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191090_1.fastq.gz
SRR26191091	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191091_1.fastq.gz
SRR26191092	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191092_1.fastq.gz
SRR26191093	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191093_1.fastq.gz
SRR26191094	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191094_1.fastq.gz
SRR26191095	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191095_1.fastq.gz
SRR26191096	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191096_1.fastq.gz
SRR26191097	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191097_1.fastq.gz
SRR26191098	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191098_1.fastq.gz
SRR26191099	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191099_1.fastq.gz
SRR26191100	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191100_1.fastq.gz
SRR26191101	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191101_1.fastq.gz
SRR26191102	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191102_1.fastq.gz
SRR26191103	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191103_1.fastq.gz
SRR26191104	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191104_1.fastq.gz
SRR26191105	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191105_1.fastq.gz
SRR26191106	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191106_1.fastq.gz
SRR26191107	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191107_1.fastq.gz
SRR26191108	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191108_1.fastq.gz
SRR26191109	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191109_1.fastq.gz
SRR26191110	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191110_1.fastq.gz
SRR26191111	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191111_1.fastq.gz
SRR26191112	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-04/raw/samples/SRR26191112_1.fastq.gz
