sample-id	forward-absolute-filepath	reverse-absolute-filepath
SRR10076378	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076378_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076378_2.fastq.gz
SRR10076379	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076379_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076379_2.fastq.gz
SRR10076380	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076380_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076380_2.fastq.gz
SRR10076381	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076381_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076381_2.fastq.gz
SRR10076382	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076382_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076382_2.fastq.gz
SRR10076383	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076383_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076383_2.fastq.gz
SRR10076384	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076384_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076384_2.fastq.gz
SRR10076385	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076385_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076385_2.fastq.gz
SRR10076386	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076386_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076386_2.fastq.gz
SRR10076387	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076387_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076387_2.fastq.gz
SRR10076388	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076388_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076388_2.fastq.gz
SRR10076389	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076389_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076389_2.fastq.gz
SRR10076390	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076390_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076390_2.fastq.gz
SRR10076391	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076391_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076391_2.fastq.gz
SRR10076392	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076392_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076392_2.fastq.gz
SRR10076393	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076393_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076393_2.fastq.gz
SRR10076394	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076394_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076394_2.fastq.gz
SRR10076395	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076395_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076395_2.fastq.gz
SRR10076396	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076396_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076396_2.fastq.gz
SRR10076397	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076397_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076397_2.fastq.gz
SRR10076398	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076398_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076398_2.fastq.gz
SRR10076399	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076399_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076399_2.fastq.gz
SRR10076400	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076400_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076400_2.fastq.gz
SRR10076401	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076401_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076401_2.fastq.gz
SRR10076402	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076402_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076402_2.fastq.gz
SRR10076403	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076403_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076403_2.fastq.gz
SRR10076404	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076404_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-07/raw/samples/SRR10076404_2.fastq.gz
