sample-id	forward-absolute-filepath	reverse-absolute-filepath
SRR11748991	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748991_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748991_2.fastq.gz
SRR11748992	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748992_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748992_2.fastq.gz
SRR11748993	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748993_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748993_2.fastq.gz
SRR11748994	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748994_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748994_2.fastq.gz
SRR11748996	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748996_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748996_2.fastq.gz
SRR11748997	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748997_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748997_2.fastq.gz
SRR11748998	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748998_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748998_2.fastq.gz
SRR11748999	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748999_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11748999_2.fastq.gz
SRR11749000	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749000_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749000_2.fastq.gz
SRR11749001	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749001_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749001_2.fastq.gz
SRR11749002	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749002_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749002_2.fastq.gz
SRR11749003	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749003_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749003_2.fastq.gz
SRR11749004	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749004_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749004_2.fastq.gz
SRR11749006	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749006_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749006_2.fastq.gz
SRR11749007	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749007_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749007_2.fastq.gz
SRR11749008	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749008_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749008_2.fastq.gz
SRR11749009	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749009_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749009_2.fastq.gz
SRR11749010	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749010_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749010_2.fastq.gz
SRR11749012	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749012_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749012_2.fastq.gz
SRR11749013	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749013_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749013_2.fastq.gz
SRR11749014	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749014_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749014_2.fastq.gz
SRR11749015	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749015_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749015_2.fastq.gz
SRR11749016	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749016_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749016_2.fastq.gz
SRR11749017	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749017_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749017_2.fastq.gz
SRR11749018	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749018_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749018_2.fastq.gz
SRR11749020	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749020_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749020_2.fastq.gz
SRR11749022	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749022_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749022_2.fastq.gz
SRR11749023	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749023_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749023_2.fastq.gz
SRR11749024	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749024_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749024_2.fastq.gz
SRR11749025	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749025_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749025_2.fastq.gz
SRR11749026	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749026_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749026_2.fastq.gz
SRR11749027	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749027_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749027_2.fastq.gz
SRR11749028	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749028_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749028_2.fastq.gz
SRR11749029	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749029_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749029_2.fastq.gz
SRR11749032	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749032_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749032_2.fastq.gz
SRR11749054	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749054_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749054_2.fastq.gz
SRR11749065	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749065_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749065_2.fastq.gz
SRR11749076	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749076_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749076_2.fastq.gz
SRR11749077	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749077_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749077_2.fastq.gz
SRR11749083	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749083_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749083_2.fastq.gz
SRR11749084	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749084_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749084_2.fastq.gz
SRR11749085	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749085_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749085_2.fastq.gz
SRR11749086	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749086_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749086_2.fastq.gz
SRR11749087	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749087_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749087_2.fastq.gz
SRR11749088	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749088_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749088_2.fastq.gz
SRR11749089	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749089_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749089_2.fastq.gz
SRR11749090	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749090_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749090_2.fastq.gz
SRR11749091	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749091_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749091_2.fastq.gz
SRR11749092	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749092_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749092_2.fastq.gz
SRR11749093	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749093_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749093_2.fastq.gz
SRR11749094	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749094_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749094_2.fastq.gz
SRR11749095	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749095_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749095_2.fastq.gz
SRR11749096	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749096_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749096_2.fastq.gz
SRR11749097	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749097_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749097_2.fastq.gz
SRR11749098	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749098_1.fastq.gz	/Users/sukuna/projeto/ic/IC-Plastic-Soil/data/projeto-08/raw/samples/SRR11749098_2.fastq.gz
